ToxicParser Profiler
====================
Target: parser
Profiler: eprof
Profile type: time
Matching: all functions
File limit: 20

Projects: man, bin, LICENSES, .ort, .github, lib, .git
Collected 20 files to profile

Loading code...
Running baseline measurement...

Baseline Results:
-----------------
Files processed: 20
Total AST nodes: 20850
Total bytes: 315762
Baseline time: 881.66 ms
Throughput: 23649.0 AST nodes/sec
Throughput: 349.75 KB/sec

Running profiler (eprof, time)...

Using eprof
Warmup...


Profile results of #PID<0.195.0>
#                                                                                      CALLS    %   TIME µS/CALL
Total                                                                                1104175 100. 758662    0.07
Enum.all?/2                                                                             2309 0.00    100    0.04
ToxicParser.Grammar.Maps.try_parse_map_update/3                                         1001 0.00    102    0.10
ToxicParser.Grammar.Calls.parse_no_parens_call/4                                         425 0.00    105    0.25
ToxicParser.Grammar.Strings.trim_heredoc_parts/3                                         858 0.00    105    0.12
Enum.slice_count_and_fun/2                                                              1532 0.00    106    0.07
anonymous fn/1 in ToxicParser.Grammar.Strings.build_interpolated_parts/2                3105 0.00    108    0.03
Toxic.NormalTokenizer.Sigil.collect_modifiers/1                                         2632 0.00    109    0.04
Toxic.NormalTokenizer.Sigil.sigil_terminator/1                                          3005 0.00    114    0.04
ToxicParser.Pratt.is_paren_call_valid/1                                                 2960 0.00    116    0.04
ToxicParser.Pratt.build_dot_alias/4                                                      753 0.00    116    0.15
ToxicParser.Grammar.Strings.parse/4                                                     3093 0.00    118    0.04
Toxic.NormalTokenizer.Sigil.tokenize_sigil_name/6                                       3161 0.00    125    0.04
ToxicParser.Context.matched_expr/0                                                      3463 0.00    125    0.04
ToxicParser.Grammar.Maps.parse_map/4                                                    1055 0.00    126    0.12
:unicode_util.cp/1                                                                      3232 0.00    129    0.04
ToxicParser.Grammar.Strings.build_interpolation_ast/4                                   1479 0.00    129    0.09
ToxicParser.Grammar.Bitstrings.parse/4                                                  1268 0.00    134    0.11
ToxicParser.Grammar.Strings.trim_parts_loop/6                                           1856 0.00    136    0.07
Toxic.NormalTokenizer.handle_char/1                                                     2951 0.00    136    0.05
ToxicParser.Grammar.Expressions.maybe_annotate_eoe/2                                    1520 0.00    138    0.09
anonymous fn/1 in ToxicParser.Grammar.Blocks.build_section_value/1                      3133 0.00    138    0.04
ToxicParser.Grammar.Blocks.exit_scope/3                                                 2543 0.00    138    0.05
Enumerable.reduce/3                                                                      836 0.00    138    0.17
ToxicParser.Builder.Helpers.unary/3                                                     2806 0.00    139    0.05
ToxicParser.Grammar.Stabs.parse_stab_eoe_until/5                                         446 0.00    140    0.31
:unicode_util.is_extend/1                                                               3232 0.00    141    0.04
ToxicParser.Grammar.EOE.skip_with_meta/2                                                1519 0.00    141    0.09
Enumerable.List.reduce/3                                                                1812 0.00    142    0.08
ToxicParser.Grammar.Blocks.enter_scope/3                                                2543 0.00    143    0.06
ToxicParser.Grammar.Strings.build_heredoc_ast/9                                          836 0.00    144    0.17
ToxicParser.Grammar.Keywords.parse_kw_data/3                                            1465 0.00    144    0.10
Toxic.NormalTokenizer.String.extract_heredoc_header/1                                   3774 0.00    149    0.04
Enum.drop/2                                                                             1532 0.00    160    0.10
anonymous fn/4 in ToxicParser.Grammar.Maps.parse_map_close/3                             945 0.00    161    0.17
ToxicParser.Grammar.Stabs.unwrap_splice/1                                               4246 0.00    168    0.04
ToxicParser.Grammar.Expressions.collect_exprs/4                                         1520 0.00    169    0.11
anonymous fn/4 in ToxicParser.Grammar.Keywords.parse_call_args_no_parens_kw/4           1871 0.00    173    0.09
ToxicParser.Grammar.DoBlocks.maybe_do_block/4                                           4237 0.00    176    0.04
ToxicParser.Grammar.Blocks.token_meta/1                                                 4306 0.00    177    0.04
ToxicParser.Grammar.Stabs.token_meta/1                                                  4254 0.00    181    0.04
ToxicParser.Grammar.Strings.merge_fragments_unescape/1                                   782 0.00    183    0.23
ToxicParser.Grammar.Blocks.parse_fn/4                                                    390 0.00    186    0.48
ToxicParser.Grammar.DoBlocks.clean_meta/2                                               2065 0.00    189    0.09
ToxicParser.Grammar.Maps.finalize_map_close_items/1                                      929 0.00    189    0.20
ToxicParser.Grammar.Keywords.parse_call_args_no_parens_kw/4                             1756 0.00    195    0.11
ToxicParser.Grammar.Containers.parse_list/4                                             1904 0.00    196    0.10
ToxicParser.Grammar.Keywords.parse_kw_call/3                                            2007 0.00    196    0.10
anonymous fn/1 in ToxicParser.Grammar.Strings.merge_fragments/1                         5534 0.00    198    0.04
anonymous fn/1 in ToxicParser.Grammar.Strings.merge_fragments/1                         5534 0.00    205    0.04
ToxicParser.Grammar.Calls.parse_no_parens_call_no_led/5                                 1305 0.00    209    0.16
Toxic.NormalTokenizer.Sigil.collect_modifiers/2                                         2636 0.00    209    0.08
ToxicParser.Grammar.Maps.parse_map_base/3                                               1055 0.00    209    0.20
ToxicParser.Grammar.Containers.finalize_list_items/1                                    1947 0.00    211    0.11
ToxicParser.Grammar.Calls.parse_identifier_no_led/6                                     1439 0.00    216    0.15
ToxicParser.Grammar.Stabs.build_stab_body/3                                             4246 0.00    218    0.05
Toxic.NormalTokenizer.Sigil.tokenize_lower_sigil_name/6                                 2997 0.00    234    0.08
ToxicParser.Grammar.Strings.string_delimiter/1                                          6649 0.00    235    0.04
ToxicParser.Precedence.stab_op_bp/0                                                     4538 0.00    236    0.05
Enum.entry_to_string/1                                                                  6316 0.00    237    0.04
:unicode_util.gc_1/1                                                                    3232 0.00    238    0.07
:unicode_util.gc_extend/3                                                               3212 0.00    239    0.07
ToxicParser.Grammar.Bitstrings.token_meta/1                                             6176 0.00    243    0.04
