ToxicParser Profiler
====================
Target: parser
Profiler: auto
Profile type: calls
Matching: all functions
File limit: 50

Projects: man, bin, LICENSES, .ort, .github, lib, .git
Collected 50 files to profile

Loading code...
Running baseline measurement...

Baseline Results:
-----------------
Files processed: 50
Total AST nodes: 90645
Total bytes: 1330661
Baseline time: 3288.15 ms
Throughput: 27567.0 AST nodes/sec
Throughput: 395.2 KB/sec

Running profiler (auto, calls)...

Using tprof for call counting (OTP 27+)
Warmup...


Profile results over all processes
#                                                                                        CALLS      %
Total                                                                                423010958 100.00
anonymous fn/4 in ToxicParser.Grammar.Keywords.parse_call_args_no_parens_kw/4             7505   0.00
Toxic.NormalTokenizer.Sigil.collect_modifiers/1                                           7508   0.00
ToxicParser.Grammar.Maps.token_meta/1                                                     7556   0.00
Toxic.NormalTokenizer.Sigil.collect_modifiers/2                                           7646   0.00
ToxicParser.Grammar.Blocks.build_block/1                                                  7806   0.00
Toxic.NormalTokenizer.Sigil.tokenize_lower_sigil_name/6                                   8219   0.00
Toxic.NormalTokenizer.Sigil.sigil_terminator/1                                            8227   0.00
Toxic.NormalTokenizer.Sigil.tokenize_sigil/5                                              8555   0.00
Toxic.NormalTokenizer.Sigil.tokenize_sigil_contents/6                                     8555   0.00
Toxic.NormalTokenizer.Sigil.tokenize_sigil_name/6                                         8555   0.00
ToxicParser.Context.matched_expr/0                                                        8945   0.00
ToxicParser.Grammar.DoBlocks.clean_meta/2                                                 9340   0.00
ToxicParser.Grammar.DoBlocks.attach_do_block/4                                            9972   0.00
ToxicParser.Grammar.Blocks.parse_do_block/3                                               9972   0.00
ToxicParser.Builder.Helpers.unary/3                                                      10660   0.00
ToxicParser.Pratt.parse_unary/4                                                          10668   0.00
ToxicParser.Pratt.parse_unary_after_eoe_skip/4                                           10668   0.00
ToxicParser.Pratt.parse_no_parens_call_nud_with_min_bp/5                                 10944   0.00
anonymous fn/1 in ToxicParser.Grammar.Strings.merge_fragments/1                          11156   0.00
anonymous fn/1 in ToxicParser.Grammar.Strings.merge_fragments/1                          11156   0.00
Enum.all?/2                                                                              11284   0.00
ToxicParser.Grammar.Blocks.build_section_value/1                                         11284   0.00
ToxicParser.Grammar.Blocks.parse_labeled_sections/5                                      11284   0.00
Toxic.NormalTokenizer.String.handle_heredocs/6                                           11411   0.00
ToxicParser.Grammar.Blocks.enter_scope/3                                                 11550   0.00
ToxicParser.Grammar.Blocks.exit_scope/3                                                  11550   0.00
ToxicParser.Grammar.Blocks.expect_kind_with_meta/3                                       11550   0.00
Toxic.NormalTokenizer.String.extract_heredoc_header/1                                    11739   0.00
anonymous fn/1 in ToxicParser.Grammar.Strings.build_interpolated_parts/2                 11765   0.00
ToxicParser.Grammar.Containers.parse_list/4                                              11803   0.00
ToxicParser.Grammar.Strings.merge_fragments/1                                            11902   0.00
:unicode_util.gc/1                                                                       12091   0.00
Toxic.InterpolationTokenizer.extract_char/9                                              12091   0.00
Toxic.NormalTokenizer.handle_char/1                                                      12363   0.00
ToxicParser.Grammar.Dots.parse_paren_call/4                                              12850   0.00
Enum.entry_to_string/1                                                                   12954   0.00
ToxicParser.Grammar.Containers.finalize_list_items/1                                     13062   0.00
ToxicParser.Grammar.Containers.parse_list_base/3                                         13062   0.00
Enum.filter/2                                                                            13700   0.00
Enum.join/2                                                                              13700   0.00
Toxic.Util.reset_eol/4                                                                   13784   0.00
ToxicParser.Grammar.Keywords.parse_kw_list/6                                             13910   0.00
Toxic.NormalTokenizer.Comment.preserve_comments/6                                        13936   0.00
anonymous fn/1 in ToxicParser.Grammar.Containers.finalize_list_items/1                   13951   0.00
anonymous fn/4 in ToxicParser.Grammar.Containers.parse_list_base/3                       14791   0.00
:erlang.iolist_to_binary/1                                                               14806   0.00
ToxicParser.Grammar.Strings.build_string_ast/10                                          15049   0.00
ToxicParser.Grammar.Strings.parse_simple_string/5                                        15065   0.00
ToxicParser.Grammar.Strings.string_delimiter/1                                           15065   0.00
